,OVERALL,Player Name,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,Team
SUCCESSFUL RAIDS %,0,arif-robbani,,,,,,,0,Tamil Thalaivas
NO OF SUPER RAIDS,0,arif-robbani,,,,,,,0,Tamil Thalaivas
SUPER 10S,0,arif-robbani,,,,,,,0,Tamil Thalaivas
TOTAL RAID POINTS,0,arif-robbani,,,,,,,0,Tamil Thalaivas
AVERAGE RAID POINTS / MATCH,0,arif-robbani,,,,,,,0,Tamil Thalaivas
NO OF SUPER TACKLES,0,arif-robbani,,,,,,,0,Tamil Thalaivas
HIGH 5S,0,arif-robbani,,,,,,,0,Tamil Thalaivas
TOTAL TACKLE POINTS,0,arif-robbani,,,,,,,0,Tamil Thalaivas
AVERAGE TACKLE / MATCH,0,arif-robbani,,,,,,,0,Tamil Thalaivas
TOTAL TACKLES,0,arif-robbani,,,,,,,0,Tamil Thalaivas
TACKLE STRIKE RATE,0,arif-robbani,,,,,,,0,Tamil Thalaivas
MATCHES PLAYED,1,hemant-chauhan,,,,,,0,1,Tamil Thalaivas
TOTAL POINTS EARNED,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
MOST POINTS IN A MATCH,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
NOT OUT %,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
TOTAL RAIDS,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
SUCCESSFUL RAIDS %,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
NO OF SUPER RAIDS,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
SUPER 10S,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
TOTAL RAID POINTS,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
AVERAGE RAID POINTS / MATCH,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
NO OF SUPER TACKLES,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
HIGH 5S,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
TOTAL TACKLE POINTS,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
AVERAGE TACKLE / MATCH,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
TOTAL TACKLES,1,hemant-chauhan,,,,,,0,1,Tamil Thalaivas
TACKLE STRIKE RATE,0,hemant-chauhan,,,,,,0,0,Tamil Thalaivas
MATCHES PLAYED,108,manjeet-chhillar,16,16,15,12,15,19,15,Tamil Thalaivas
TOTAL POINTS EARNED,563,manjeet-chhillar,122,107,106,68,52,67,41,Tamil Thalaivas
MOST POINTS IN A MATCH,14,manjeet-chhillar,14,11,13,11,9,8,6,Tamil Thalaivas
NOT OUT %,81.08 %,manjeet-chhillar,71.75 %,85.25 %,91.81 %,75.32 %,68.96 %,79.31 %,68.42 %,Tamil Thalaivas
TOTAL RAIDS,719,manjeet-chhillar,177,217,171,77,29,29,19,Tamil Thalaivas
SUCCESSFUL RAIDS %,31.15,manjeet-chhillar,40.11,30.87,26.31,31.16,17.24,27.58,21.05,Tamil Thalaivas
NO OF SUPER RAIDS,5,manjeet-chhillar,2,0,2,1,0,0,0,Tamil Thalaivas
SUPER 10S,2,manjeet-chhillar,2,0,0,0,0,0,0,Tamil Thalaivas
TOTAL RAID POINTS,224,manjeet-chhillar,71,67,45,24,5,8,4,Tamil Thalaivas
AVERAGE RAID POINTS / MATCH,2.07,manjeet-chhillar,4.43,4.18,3,2,0.33,0.42,0.26,Tamil Thalaivas
NO OF SUPER TACKLES,15,manjeet-chhillar,0,1,5,1,1,5,2,Tamil Thalaivas
HIGH 5S,23,manjeet-chhillar,3,3,5,5,3,2,2,Tamil Thalaivas
TOTAL TACKLE POINTS,339,manjeet-chhillar,51,40,61,44,47,59,37,Tamil Thalaivas
AVERAGE TACKLE / MATCH,3,manjeet-chhillar,3.18,2.43,3.73,3.58,3.06,2.84,2.33,Tamil Thalaivas
TOTAL TACKLES,621,manjeet-chhillar,84,78,99,73,85,121,81,Tamil Thalaivas
TACKLE STRIKE RATE,54.58 %,manjeet-chhillar,60.71 %,51.28 %,61.61 %,60.27 %,55.29 %,48.76 %,45.67 %,Tamil Thalaivas
MATCHES PLAYED,116,ran-singh,10,14,14,16,23,22,17,Tamil Thalaivas
TOTAL POINTS EARNED,324,ran-singh,36,44,41,33,64,71,35,Tamil Thalaivas
MOST POINTS IN A MATCH,9,ran-singh,8,9,5,4,7,7,4,Tamil Thalaivas
NOT OUT %,80.34 %,ran-singh,68.75 %,85.71 %,75.43 %,100 %,81.48 %,83.33 %,69.23 %,Tamil Thalaivas
TOTAL RAIDS,229,ran-singh,16,35,57,9,27,72,13,Tamil Thalaivas
SUCCESSFUL RAIDS %,42.79,ran-singh,68.75,37.14,35.08,55.55,44.44,40.27,61.53,Tamil Thalaivas
NO OF SUPER RAIDS,4,ran-singh,1,0,2,0,0,1,0,Tamil Thalaivas
SUPER 10S,0,ran-singh,0,0,0,0,0,0,0,Tamil Thalaivas
TOTAL RAID POINTS,98,ran-singh,11,13,20,5,12,29,8,Tamil Thalaivas
AVERAGE RAID POINTS / MATCH,0.84,ran-singh,1.1,0.92,1.42,0.31,0.52,1.31,0.47,Tamil Thalaivas
NO OF SUPER TACKLES,12,ran-singh,2,4,0,1,3,1,1,Tamil Thalaivas
HIGH 5S,4,ran-singh,1,1,0,0,2,0,0,Tamil Thalaivas
TOTAL TACKLE POINTS,226,ran-singh,25,31,21,28,52,42,27,Tamil Thalaivas
AVERAGE TACKLE / MATCH,1.84,ran-singh,2.3,1.92,1.5,1.68,2.13,1.86,1.52,Tamil Thalaivas
TOTAL TACKLES,469,ran-singh,41,53,52,62,112,88,61,Tamil Thalaivas
TACKLE STRIKE RATE,48.18 %,ran-singh,60.97 %,58.49 %,40.38 %,45.16 %,46.42 %,47.72 %,44.26 %,Tamil Thalaivas
MATCHES PLAYED,6,victor-obiero,,,,,,3,3,Tamil Thalaivas
TOTAL POINTS EARNED,14,victor-obiero,,,,,,6,8,Tamil Thalaivas
MOST POINTS IN A MATCH,5,victor-obiero,,,,,,5,5,Tamil Thalaivas
NOT OUT %,66.66 %,victor-obiero,,,,,,57.14 %,75 %,Tamil Thalaivas
TOTAL RAIDS,15,victor-obiero,,,,,,7,8,Tamil Thalaivas
SUCCESSFUL RAIDS %,80,victor-obiero,,,,,,85.71,75,Tamil Thalaivas
NO OF SUPER RAIDS,0,victor-obiero,,,,,,0,0,Tamil Thalaivas
SUPER 10S,0,victor-obiero,,,,,,0,0,Tamil Thalaivas
TOTAL RAID POINTS,12,victor-obiero,,,,,,6,6,Tamil Thalaivas
AVERAGE RAID POINTS / MATCH,2,victor-obiero,,,,,,2,2,Tamil Thalaivas
NO OF SUPER TACKLES,1,victor-obiero,,,,,,0,1,Tamil Thalaivas
HIGH 5S,0,victor-obiero,,,,,,0,0,Tamil Thalaivas
TOTAL TACKLE POINTS,2,victor-obiero,,,,,,0,2,Tamil Thalaivas
AVERAGE TACKLE / MATCH,0.16,victor-obiero,,,,,,0,0.33,Tamil Thalaivas
TOTAL TACKLES,5,victor-obiero,,,,,,0,5,Tamil Thalaivas
TACKLE STRIKE RATE,40 %,victor-obiero,,,,,,0,40 %,Tamil Thalaivas
MATCHES PLAYED,62,abozar-mohajermighani,,,,,24,21,17,Telugu Titans
TOTAL POINTS EARNED,161,abozar-mohajermighani,,,,,66,56,39,Telugu Titans
MOST POINTS IN A MATCH,6,abozar-mohajermighani,,,,,5,6,5,Telugu Titans
NOT OUT %,92.1 %,abozar-mohajermighani,,,,,83.33 %,100 %,66.66 %,Telugu Titans
TOTAL RAIDS,38,abozar-mohajermighani,,,,,6,26,6,Telugu Titans
SUCCESSFUL RAIDS %,5.26,abozar-mohajermighani,,,,,16.66,0,16.66,Telugu Titans
NO OF SUPER RAIDS,0,abozar-mohajermighani,,,,,0,0,0,Telugu Titans
SUPER 10S,0,abozar-mohajermighani,,,,,0,0,0,Telugu Titans
TOTAL RAID POINTS,2,abozar-mohajermighani,,,,,1,0,1,Telugu Titans
AVERAGE RAID POINTS / MATCH,0.03,abozar-mohajermighani,,,,,0.04,0,0.05,Telugu Titans
NO OF SUPER TACKLES,13,abozar-mohajermighani,,,,,2,8,3,Telugu Titans
HIGH 5S,7,abozar-mohajermighani,,,,,2,4,1,Telugu Titans
TOTAL TACKLE POINTS,159,abozar-mohajermighani,,,,,65,56,38,Telugu Titans
AVERAGE TACKLE / MATCH,2.35,abozar-mohajermighani,,,,,2.62,2.28,2.05,Telugu Titans
TOTAL TACKLES,296,abozar-mohajermighani,,,,,116,98,82,Telugu Titans
TACKLE STRIKE RATE,53.71 %,abozar-mohajermighani,,,,,56.03 %,57.14 %,46.34 %,Telugu Titans
MATCHES PLAYED,11,amit-kumar,,,,,,2,9,Telugu Titans
TOTAL POINTS EARNED,17,amit-kumar,,,,,,4,13,Telugu Titans
MOST POINTS IN A MATCH,3,amit-kumar,,,,,,3,3,Telugu Titans
NOT OUT %,92.59 %,amit-kumar,,,,,,85.71 %,93.61 %,Telugu Titans
TOTAL RAIDS,54,amit-kumar,,,,,,7,47,Telugu Titans
SUCCESSFUL RAIDS %,7.4,amit-kumar,,,,,,14.28,6.38,Telugu Titans
NO OF SUPER RAIDS,0,amit-kumar,,,,,,0,0,Telugu Titans
SUPER 10S,0,amit-kumar,,,,,,0,0,Telugu Titans
TOTAL RAID POINTS,4,amit-kumar,,,,,,1,3,Telugu Titans
AVERAGE RAID POINTS / MATCH,0.36,amit-kumar,,,,,,0.5,0.33,Telugu Titans
NO OF SUPER TACKLES,2,amit-kumar,,,,,,0,2,Telugu Titans
HIGH 5S,0,amit-kumar,,,,,,0,0,Telugu Titans
TOTAL TACKLE POINTS,13,amit-kumar,,,,,,3,10,Telugu Titans
AVERAGE TACKLE / MATCH,1,amit-kumar,,,,,,1.5,0.88,Telugu Titans
TOTAL TACKLES,29,amit-kumar,,,,,,8,21,Telugu Titans
TACKLE STRIKE RATE,44.82 %,amit-kumar,,,,,,37.5 %,47.61 %,Telugu Titans
MATCHES PLAYED,6,ankit-beniwal,,,,,,1,5,Telugu Titans
TOTAL POINTS EARNED,8,ankit-beniwal,,,,,,0,8,Telugu Titans
MOST POINTS IN A MATCH,2,ankit-beniwal,,,,,,0,2,Telugu Titans
NOT OUT %,52.63 %,ankit-beniwal,,,,,,33.33 %,56.25 %,Telugu Titans
TOTAL RAIDS,19,ankit-beniwal,,,,,,3,16,Telugu Titans
SUCCESSFUL RAIDS %,36.84,ankit-beniwal,,,,,,0,43.75,Telugu Titans
NO OF SUPER RAIDS,0,ankit-beniwal,,,,,,0,0,Telugu Titans
SUPER 10S,0,ankit-beniwal,,,,,,0,0,Telugu Titans
TOTAL RAID POINTS,7,ankit-beniwal,,,,,,0,7,Telugu Titans
AVERAGE RAID POINTS / MATCH,1.16,ankit-beniwal,,,,,,0,1.4,Telugu Titans
NO OF SUPER TACKLES,0,ankit-beniwal,,,,,,0,0,Telugu Titans
HIGH 5S,0,ankit-beniwal,,,,,,0,0,Telugu Titans
TOTAL TACKLE POINTS,1,ankit-beniwal,,,,,,0,1,Telugu Titans
AVERAGE TACKLE / MATCH,0.16,ankit-beniwal,,,,,,0,0.2,Telugu Titans
TOTAL TACKLES,2,ankit-beniwal,,,,,,0,2,Telugu Titans
TACKLE STRIKE RATE,50 %,ankit-beniwal,,,,,,0,50 %,Telugu Titans
MATCHES PLAYED,11,kamal-singh,,,,,,8,3,Telugu Titans
TOTAL POINTS EARNED,17,kamal-singh,,,,,,15,2,Telugu Titans
MOST POINTS IN A MATCH,6,kamal-singh,,,,,,6,2,Telugu Titans
NOT OUT %,76.74 %,kamal-singh,,,,,,77.14 %,75 %,Telugu Titans
TOTAL RAIDS,43,kamal-singh,,,,,,35,8,Telugu Titans
SUCCESSFUL RAIDS %,30.23,kamal-singh,,,,,,37.14,0,Telugu Titans
NO OF SUPER RAIDS,0,kamal-singh,,,,,,0,0,Telugu Titans
SUPER 10S,0,kamal-singh,,,,,,0,0,Telugu Titans
TOTAL RAID POINTS,13,kamal-singh,,,,,,13,0,Telugu Titans
AVERAGE RAID POINTS / MATCH,1.18,kamal-singh,,,,,,1.62,0,Telugu Titans
NO OF SUPER TACKLES,1,kamal-singh,,,,,,1,0,Telugu Titans
HIGH 5S,0,kamal-singh,,,,,,0,0,Telugu Titans
TOTAL TACKLE POINTS,4,kamal-singh,,,,,,2,2,Telugu Titans
AVERAGE TACKLE / MATCH,0.27,kamal-singh,,,,,,0.12,0.66,Telugu Titans
TOTAL TACKLES,12,kamal-singh,,,,,,6,6,Telugu Titans
TACKLE STRIKE RATE,33.33 %,kamal-singh,,,,,,33.33 %,33.33 %,Telugu Titans
MATCHES PLAYED,2,mula-siva-ganesh-reddy,,,,,,,2,Telugu Titans
TOTAL POINTS EARNED,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
MOST POINTS IN A MATCH,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
NOT OUT %,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
TOTAL RAIDS,2,mula-siva-ganesh-reddy,,,,,,,2,Telugu Titans
SUCCESSFUL RAIDS %,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
NO OF SUPER RAIDS,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
SUPER 10S,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
TOTAL RAID POINTS,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
AVERAGE RAID POINTS / MATCH,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
NO OF SUPER TACKLES,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
HIGH 5S,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
TOTAL TACKLE POINTS,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
AVERAGE TACKLE / MATCH,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
TOTAL TACKLES,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
TACKLE STRIKE RATE,0,mula-siva-ganesh-reddy,,,,,,,0,Telugu Titans
MATCHES PLAYED,3,palle-mallikarjun,,,,,,,3,Telugu Titans
TOTAL POINTS EARNED,2,palle-mallikarjun,,,,,,,2,Telugu Titans
MOST POINTS IN A MATCH,1,palle-mallikarjun,,,,,,,1,Telugu Titans
NOT OUT %,50 %,palle-mallikarjun,,,,,,,50 %,Telugu Titans
TOTAL RAIDS,10,palle-mallikarjun,,,,,,,10,Telugu Titans
SUCCESSFUL RAIDS %,20,palle-mallikarjun,,,,,,,20,Telugu Titans
NO OF SUPER RAIDS,0,palle-mallikarjun,,,,,,,0,Telugu Titans
SUPER 10S,0,palle-mallikarjun,,,,,,,0,Telugu Titans
TOTAL RAID POINTS,2,palle-mallikarjun,,,,,,,2,Telugu Titans
AVERAGE RAID POINTS / MATCH,0.66,palle-mallikarjun,,,,,,,0.66,Telugu Titans
NO OF SUPER TACKLES,0,palle-mallikarjun,,,,,,,0,Telugu Titans
HIGH 5S,0,palle-mallikarjun,,,,,,,0,Telugu Titans
TOTAL TACKLE POINTS,0,palle-mallikarjun,,,,,,,0,Telugu Titans
AVERAGE TACKLE / MATCH,0,palle-mallikarjun,,,,,,,0,Telugu Titans
TOTAL TACKLES,1,palle-mallikarjun,,,,,,,1,Telugu Titans
TACKLE STRIKE RATE,0,palle-mallikarjun,,,,,,,0,Telugu Titans
MATCHES PLAYED,13,rajnish,,,,,,4,9,Telugu Titans
TOTAL POINTS EARNED,43,rajnish,,,,,,9,34,Telugu Titans
MOST POINTS IN A MATCH,10,rajnish,,,,,,5,10,Telugu Titans
NOT OUT %,74.74 %,rajnish,,,,,,69.23 %,76.71 %,Telugu Titans
TOTAL RAIDS,99,rajnish,,,,,,26,73,Telugu Titans
SUCCESSFUL RAIDS %,42.42,rajnish,,,,,,34.61,45.2,Telugu Titans
NO OF SUPER RAIDS,1,rajnish,,,,,,0,1,Telugu Titans
SUPER 10S,1,rajnish,,,,,,0,1,Telugu Titans
TOTAL RAID POINTS,42,rajnish,,,,,,9,33,Telugu Titans
AVERAGE RAID POINTS / MATCH,3.23,rajnish,,,,,,2.25,3.66,Telugu Titans
NO OF SUPER TACKLES,0,rajnish,,,,,,0,0,Telugu Titans
HIGH 5S,0,rajnish,,,,,,0,0,Telugu Titans
TOTAL TACKLE POINTS,1,rajnish,,,,,,0,1,Telugu Titans
AVERAGE TACKLE / MATCH,0.07,rajnish,,,,,,0,0.11,Telugu Titans
TOTAL TACKLES,9,rajnish,,,,,,3,6,Telugu Titans
TACKLE STRIKE RATE,11.11 %,rajnish,,,,,,0,16.66 %,Telugu Titans
MATCHES PLAYED,8,rakesh-gowda,,,,,,,8,Telugu Titans
TOTAL POINTS EARNED,29,rakesh-gowda,,,,,,,29,Telugu Titans
MOST POINTS IN A MATCH,7,rakesh-gowda,,,,,,,7,Telugu Titans
NOT OUT %,82.69 %,rakesh-gowda,,,,,,,82.69 %,Telugu Titans
TOTAL RAIDS,52,rakesh-gowda,,,,,,,52,Telugu Titans
SUCCESSFUL RAIDS %,40.38,rakesh-gowda,,,,,,,40.38,Telugu Titans
NO OF SUPER RAIDS,0,rakesh-gowda,,,,,,,0,Telugu Titans
SUPER 10S,0,rakesh-gowda,,,,,,,0,Telugu Titans
TOTAL RAID POINTS,21,rakesh-gowda,,,,,,,21,Telugu Titans
AVERAGE RAID POINTS / MATCH,2.62,rakesh-gowda,,,,,,,2.62,Telugu Titans
NO OF SUPER TACKLES,3,rakesh-gowda,,,,,,,3,Telugu Titans
HIGH 5S,0,rakesh-gowda,,,,,,,0,Telugu Titans
TOTAL TACKLE POINTS,8,rakesh-gowda,,,,,,,8,Telugu Titans
AVERAGE TACKLE / MATCH,0.62,rakesh-gowda,,,,,,,0.62,Telugu Titans
TOTAL TACKLES,16,rakesh-gowda,,,,,,,16,Telugu Titans
TACKLE STRIKE RATE,50 %,rakesh-gowda,,,,,,,50 %,Telugu Titans
MATCHES PLAYED,38,siddharth-desai,,,,,,21,17,Telugu Titans
TOTAL POINTS EARNED,376,siddharth-desai,,,,,,221,155,Telugu Titans
MOST POINTS IN A MATCH,23,siddharth-desai,,,,,,19,23,Telugu Titans
NOT OUT %,74.91 %,siddharth-desai,,,,,,77.57 %,71.54 %,Telugu Titans
TOTAL RAIDS,574,siddharth-desai,,,,,,321,253,Telugu Titans
SUCCESSFUL RAIDS %,64.45,siddharth-desai,,,,,,67.91,60.07,Telugu Titans
NO OF SUPER RAIDS,13,siddharth-desai,,,,,,10,3,Telugu Titans
SUPER 10S,18,siddharth-desai,,,,,,12,6,Telugu Titans
TOTAL RAID POINTS,370,siddharth-desai,,,,,,218,152,Telugu Titans
AVERAGE RAID POINTS / MATCH,9.73,siddharth-desai,,,,,,10.38,8.94,Telugu Titans
NO OF SUPER TACKLES,0,siddharth-desai,,,,,,0,0,Telugu Titans
HIGH 5S,0,siddharth-desai,,,,,,0,0,Telugu Titans
TOTAL TACKLE POINTS,6,siddharth-desai,,,,,,3,3,Telugu Titans
AVERAGE TACKLE / MATCH,0.15,siddharth-desai,,,,,,0.14,0.17,Telugu Titans
TOTAL TACKLES,15,siddharth-desai,,,,,,9,6,Telugu Titans
TACKLE STRIKE RATE,40 %,siddharth-desai,,,,,,33.33 %,50 %,Telugu Titans
MATCHES PLAYED,12,suraj-desai,,0,,,0,,12,Telugu Titans
TOTAL POINTS EARNED,45,suraj-desai,,0,,,0,,45,Telugu Titans
MOST POINTS IN A MATCH,18,suraj-desai,,0,,,0,,18,Telugu Titans
NOT OUT %,69.9 %,suraj-desai,,0,,,0,,69.9 %,Telugu Titans
TOTAL RAIDS,103,suraj-desai,,0,,,0,,103,Telugu Titans
SUCCESSFUL RAIDS %,42.71,suraj-desai,,0,,,0,,42.71,Telugu Titans
NO OF SUPER RAIDS,1,suraj-desai,,0,,,0,,1,Telugu Titans
SUPER 10S,1,suraj-desai,,0,,,0,,1,Telugu Titans
TOTAL RAID POINTS,44,suraj-desai,,0,,,0,,44,Telugu Titans
AVERAGE RAID POINTS / MATCH,3.66,suraj-desai,,0,,,0,,3.66,Telugu Titans
NO OF SUPER TACKLES,0,suraj-desai,,0,,,0,,0,Telugu Titans
HIGH 5S,0,suraj-desai,,0,,,0,,0,Telugu Titans
TOTAL TACKLE POINTS,1,suraj-desai,,0,,,0,,1,Telugu Titans
AVERAGE TACKLE / MATCH,0.08,suraj-desai,,0,,,0,,0.08,Telugu Titans
TOTAL TACKLES,7,suraj-desai,,0,,,0,,7,Telugu Titans
TACKLE STRIKE RATE,14.28 %,suraj-desai,,0,,,0,,14.28 %,Telugu Titans
MATCHES PLAYED,2,aakash-dattu-arsul,,,,,,,2,Telugu Titans
TOTAL POINTS EARNED,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
MOST POINTS IN A MATCH,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
NOT OUT %,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
TOTAL RAIDS,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
SUCCESSFUL RAIDS %,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
NO OF SUPER RAIDS,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
SUPER 10S,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
TOTAL RAID POINTS,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
AVERAGE RAID POINTS / MATCH,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
NO OF SUPER TACKLES,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
HIGH 5S,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
TOTAL TACKLE POINTS,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
AVERAGE TACKLE / MATCH,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
TOTAL TACKLES,2,aakash-dattu-arsul,,,,,,,2,Telugu Titans
TACKLE STRIKE RATE,0,aakash-dattu-arsul,,,,,,,0,Telugu Titans
MATCHES PLAYED,1,akash-choudhary,,,,,,,1,Telugu Titans
TOTAL POINTS EARNED,0,akash-choudhary,,,,,,,0,Telugu Titans
MOST POINTS IN A MATCH,0,akash-choudhary,,,,,,,0,Telugu Titans
NOT OUT %,0,akash-choudhary,,,,,,,0,Telugu Titans
TOTAL RAIDS,0,akash-choudhary,,,,,,,0,Telugu Titans
SUCCESSFUL RAIDS %,0,akash-choudhary,,,,,,,0,Telugu Titans
NO OF SUPER RAIDS,0,akash-choudhary,,,,,,,0,Telugu Titans
SUPER 10S,0,akash-choudhary,,,,,,,0,Telugu Titans
TOTAL RAID POINTS,0,akash-choudhary,,,,,,,0,Telugu Titans
AVERAGE RAID POINTS / MATCH,0,akash-choudhary,,,,,,,0,Telugu Titans
NO OF SUPER TACKLES,0,akash-choudhary,,,,,,,0,Telugu Titans
HIGH 5S,0,akash-choudhary,,,,,,,0,Telugu Titans
TOTAL TACKLE POINTS,0,akash-choudhary,,,,,,,0,Telugu Titans
AVERAGE TACKLE / MATCH,0,akash-choudhary,,,,,,,0,Telugu Titans
TOTAL TACKLES,1,akash-choudhary,,,,,,,1,Telugu Titans
TACKLE STRIKE RATE,0,akash-choudhary,,,,,,,0,Telugu Titans
MATCHES PLAYED,0,manish,,,,,,,0,Telugu Titans
TOTAL POINTS EARNED,0,manish,,,,,,,0,Telugu Titans
MOST POINTS IN A MATCH,0,manish,,,,,,,0,Telugu Titans
NOT OUT %,0,manish,,,,,,,0,Telugu Titans
TOTAL RAIDS,0,manish,,,,,,,0,Telugu Titans
SUCCESSFUL RAIDS %,0,manish,,,,,,,0,Telugu Titans
NO OF SUPER RAIDS,0,manish,,,,,,,0,Telugu Titans
SUPER 10S,0,manish,,,,,,,0,Telugu Titans
TOTAL RAID POINTS,0,manish,,,,,,,0,Telugu Titans
AVERAGE RAID POINTS / MATCH,0,manish,,,,,,,0,Telugu Titans
NO OF SUPER TACKLES,0,manish,,,,,,,0,Telugu Titans
HIGH 5S,0,manish,,,,,,,0,Telugu Titans
TOTAL TACKLE POINTS,0,manish,,,,,,,0,Telugu Titans
AVERAGE TACKLE / MATCH,0,manish,,,,,,,0,Telugu Titans
TOTAL TACKLES,0,manish,,,,,,,0,Telugu Titans
TACKLE STRIKE RATE,0,manish,,,,,,,0,Telugu Titans
MATCHES PLAYED,86,c--arun,,8,11,14,20,16,17,Telugu Titans
TOTAL POINTS EARNED,109,c--arun,,11,18,15,36,8,21,Telugu Titans
MOST POINTS IN A MATCH,8,c--arun,,3,7,3,8,2,6,Telugu Titans
NOT OUT %,90.9 %,c--arun,,0,77.77 %,100 %,93.75 %,100 %,100 %,Telugu Titans
TOTAL RAIDS,33,c--arun,,0,9,2,16,3,3,Telugu Titans
SUCCESSFUL RAIDS %,12.12,c--arun,,0,11.11,0,6.25,0,66.66,Telugu Titans
NO OF SUPER RAIDS,0,c--arun,,0,0,0,0,0,0,Telugu Titans
SUPER 10S,0,c--arun,,0,0,0,0,0,0,Telugu Titans
TOTAL RAID POINTS,4,c--arun,,0,1,0,1,0,2,Telugu Titans
AVERAGE RAID POINTS / MATCH,0.04,c--arun,,0,0.09,0,0.05,0,0.11,Telugu Titans
NO OF SUPER TACKLES,15,c--arun,,1,5,1,5,0,3,Telugu Titans
HIGH 5S,3,c--arun,,0,1,0,1,0,1,Telugu Titans
TOTAL TACKLE POINTS,105,c--arun,,11,17,15,35,8,19,Telugu Titans
AVERAGE TACKLE / MATCH,1.04,c--arun,,1.25,1.09,1,1.5,0.5,0.94,Telugu Titans
TOTAL TACKLES,271,c--arun,,23,35,40,83,36,54,Telugu Titans
TACKLE STRIKE RATE,38.74 %,c--arun,,47.82 %,48.57 %,37.5 %,42.16 %,22.22 %,35.18 %,Telugu Titans
MATCHES PLAYED,15,krushna-madane,,,1,,,6,8,Telugu Titans
TOTAL POINTS EARNED,17,krushna-madane,,,0,,,12,5,Telugu Titans
MOST POINTS IN A MATCH,4,krushna-madane,,,0,,,4,2,Telugu Titans
NOT OUT %,86.66 %,krushna-madane,,,0,,,100 %,100 %,Telugu Titans
TOTAL RAIDS,15,krushna-madane,,,2,,,3,10,Telugu Titans
SUCCESSFUL RAIDS %,6.66,krushna-madane,,,0,,,33.33,0,Telugu Titans
NO OF SUPER RAIDS,0,krushna-madane,,,0,,,0,0,Telugu Titans
SUPER 10S,0,krushna-madane,,,0,,,0,0,Telugu Titans
TOTAL RAID POINTS,1,krushna-madane,,,0,,,1,0,Telugu Titans
AVERAGE RAID POINTS / MATCH,0.06,krushna-madane,,,0,,,0.16,0,Telugu Titans
NO OF SUPER TACKLES,0,krushna-madane,,,0,,,0,0,Telugu Titans
HIGH 5S,0,krushna-madane,,,0,,,0,0,Telugu Titans
TOTAL TACKLE POINTS,16,krushna-madane,,,0,,,11,5,Telugu Titans
AVERAGE TACKLE / MATCH,1.06,krushna-madane,,,0,,,1.83,0.62,Telugu Titans
TOTAL TACKLES,42,krushna-madane,,,0,,,25,17,Telugu Titans
TACKLE STRIKE RATE,38.09 %,krushna-madane,,,0,,,44 %,29.41 %,Telugu Titans
MATCHES PLAYED,58,vishal-bhardwaj,,,,2,22,17,17,Telugu Titans
TOTAL POINTS EARNED,197,vishal-bhardwaj,,,,7,71,60,59,Telugu Titans
MOST POINTS IN A MATCH,9,vishal-bhardwaj,,,,5,7,9,8,Telugu Titans
NOT OUT %,98.33 %,vishal-bhardwaj,,,,100 %,80 %,100 %,100 %,Telugu Titans
TOTAL RAIDS,60,vishal-bhardwaj,,,,1,5,40,14,Telugu Titans
